theta,theta_dot,torque,label1,label2
6.08858,4.43229,-0.0380836,4.43229,-1.97946
2.34682,2.52682,-0.864319,2.52682,6.11184
2.49655,2.17846,0.935844,2.17846,6.81213
5.71831,2.17058,-0.0844127,2.17058,-5.35749
2.36907,-0.371699,-0.778572,-0.371699,6.07199
0.206906,-0.0403621,0.806239,-0.0403621,2.82194
0.0323185,-2.33039,-0.22132,-2.33039,0.118973
2.67611,-4.50457,0.88027,-4.50457,5.3286
3.59541,-0.160225,0.493132,-0.160225,-3.80594
2.049,4.30643,0.0209406,4.30643,8.68741
1.51606,0.578058,0.585404,0.578058,10.3749
1.09234,4.54697,-0.595055,4.54697,8.06786
4.75147,0.245536,0.974034,0.245536,-8.83093
4.55344,-3.60216,0.853002,-3.60216,-8.79732
0.558815,1.14025,-0.74161,1.14025,4.44807
0.392358,4.10553,0.868201,4.10553,4.57818
4.62689,-4.9841,-0.821634,-4.9841,-10.546
1.1179,-2.43989,-0.796389,-2.43989,8.04902
0.729432,-1.45204,0.252262,-1.45204,6.80462
0.251029,0.691106,-0.664888,0.691106,1.76501
0.0104935,1.71055,0.075488,1.71055,0.161321
1.82917,1.73019,0.954535,1.73019,10.4216
2.1085,2.94923,0.900279,2.94923,9.29646
0.6128,-4.60576,-0.535197,-4.60576,5.15319
4.24615,-2.70611,0.974261,-2.70611,-7.76162
4.11751,2.67713,0.68628,2.67713,-7.46531
1.95762,2.97321,-0.0121392,2.97321,9.0433
2.22702,-3.49897,-0.90748,-3.49897,6.90002
1.41684,-0.466152,0.137707,-0.466152,9.83634
3.17736,4.74258,-0.578103,4.74258,-0.976291
