x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
1.73222,0.0455057,0.169031,0.867804,-8.91788,0.169031,0.867804,-8.86976,16.8286
1.27509,-0.0151903,0.392775,-0.983207,-5.26812,0.392775,-0.983207,-5.28363,10.8641
-1.01246,0.0592464,0.924663,0.671927,-5.01424,0.924663,0.671927,-4.95318,8.72724
0.984775,0.101267,0.361818,-0.11725,6.28991,0.361818,-0.11725,6.38212,-14.6823
2.12211,-0.138362,-0.279126,-0.931327,2.31866,-0.279126,-0.931327,2.17453,-1.60148
1.13085,-0.0735644,-0.645903,-0.25312,-4.28191,-0.645903,-0.25312,-4.3517,10.1219
-1.16554,0.185353,0.440759,-0.562285,9.88318,0.440759,-0.562285,10.0297,-23.3317
-0.404264,-0.131788,-0.550911,-0.97283,4.34704,-0.550911,-0.97283,4.20576,-5.76039
1.11737,-0.117718,0.0442305,-0.73225,1.5614,0.0442305,-0.73225,1.44184,-0.559425
0.388259,0.00519585,0.712218,-0.132589,7.56678,0.712218,-0.132589,7.57186,-15.2455
0.190489,0.036806,0.149215,0.91376,5.85053,0.149215,0.91376,5.88734,-12.4887
-1.81983,-0.0487411,0.460984,0.252456,8.15596,0.460984,0.252456,8.10614,-15.2371
-0.465194,0.121975,-0.743225,-0.79567,-3.50703,-0.743225,-0.79567,-3.3797,4.32196
-0.742749,0.011965,0.178849,-0.86793,6.21686,0.178849,-0.86793,6.22895,-12.6918
0.392778,0.118004,-0.681602,-0.491504,-0.383609,-0.681602,-0.491504,-0.267126,-1.77934
-0.86167,0.137564,0.0896705,0.77688,-3.41161,0.0896705,0.77688,-3.26807,3.7839
1.24475,-0.110536,-0.104833,-0.437824,0.280458,-0.104833,-0.437824,0.171637,1.82312
2.23726,-0.19505,0.434075,-0.697845,7.95125,0.434075,-0.697845,7.73096,-11.3661
-1.93644,0.0084726,0.0870267,0.424456,1.8409,0.0870267,0.424456,1.84928,-3.86465
-2.1403,-0.121733,-0.485413,-0.113108,3.32761,-0.485413,-0.113108,3.20456,-3.97919
-2.32959,-0.137667,-0.206781,-0.409345,-6.55404,-0.206781,-0.409345,-6.67596,15.9181
-2.03364,-0.190974,0.695391,0.169561,-6.98239,0.695391,0.169561,-7.13976,17.7441
-1.68471,-0.050122,0.452451,-0.318842,5.54604,0.452451,-0.318842,5.49532,-9.99385
-1.24446,0.00566148,0.227892,0.642677,5.37689,0.227892,0.642677,5.38255,-10.876
1.75772,0.0894786,-0.348081,-0.722047,-4.69121,-0.348081,-0.722047,-4.5979,7.40578
1.3353,0.130302,0.703336,0.562246,6.52245,0.703336,0.562246,6.63968,-15.7161
1.18113,0.00475994,-0.403963,-0.856347,7.2882,-0.403963,-0.856347,7.29303,-14.6793
-0.594816,0.176557,-0.0254362,0.852099,-4.64434,-0.0254362,0.852099,-4.45459,5.32461
0.0144603,0.0284562,-0.00052242,-0.61047,-0.130289,-0.00052242,-0.61047,-0.101851,-0.354618
0.655704,0.0340637,0.50875,0.523094,7.54015,0.50875,0.523094,7.57313,-15.8057
0.353958,-0.0951522,0.333139,-0.962696,-9.41241,0.333139,-0.962696,-9.50101,20.7801
1.79373,0.173151,0.367792,-0.65521,-7.39336,0.367792,-0.65521,-7.2018,10.8079
1.46075,0.167847,0.368871,-0.838418,6.46228,0.368871,-0.838418,6.61128,-16.3145
1.5306,-0.14691,-0.211901,0.191401,5.47641,-0.211901,0.191401,5.32268,-7.65866
-0.612641,0.19333,-0.931836,-0.273129,-7.6967,-0.931836,-0.273129,-7.4834,10.9184
